s001.okserver.org:76:244084
s006.okserver.org:63:883544
s021.okserver.org:75:870180
s030.okserver.org:182:13801316
s031.okserver.org:254:750680
s032.okserver.org:192:22928884
s033.okserver.org:151:658664
s039.okserver.org:84:529328
s073.okserver.org:0:0
s074.okserver.org:108:888764
s075.okserver.org:98:276852
s076.okserver.org:150:4708020
s078.okserver.org:127:14160696
s079.okserver.org:118:1323220
s080.okserver.org:97:1767556
s081.okserver.org:121:995428
s082.okserver.org:138:614300
s083.okserver.org:120:1206124
s084.okserver.org:167:1657652
s085.okserver.org:226:12100232
s086.okserver.org:126:1250840
s087.okserver.org:144:1169092
s088.okserver.org:89:37836
s095.okserver.org:114:2533332
s096.okserver.org:147:5334848
s098.okserver.org:96:646540
s099.okserver.org:103:1079596
s100.okserver.org:81:92172
s101.okserver.org:120:618428
s102.okserver.org:99:1197024
s103.okserver.org:140:11476612
s104.okserver.org:99:1143680
s105.okserver.org:104:570016
s106.okserver.org:94:85580
s107.okserver.org:113:457048
s108.okserver.org:120:5014452
s109.okserver.org:117:651284
s110.okserver.org:136:580652
s111.okserver.org:83:2723808
s112.okserver.org:107:447836
s113.okserver.org:85:237436
